"participant","stimulus_audio","length_audio","stimulus_picture","response_time","accuracy","accuracy_num","condition","congruency","category"
"1419","orange_word",1060,"Aprikose",2127,"correct","1","WPM","incongruent","Fruechte"
"1419","adler_correct",1450,"Adler",1905,"incorrect","0","FPM","congruent","Voegel"
"1419","wal_word",970,"Fuchs",680,"correct","1","WPM","incongruent","Saeugetiere"
"1419","faehre_word",1240,"Faehre",588,"incorrect","0","WPM","congruent","Fortbewegungsmittel"
"1419","schiff_word",1180,"Schiff",577,"correct","1","WPM","congruent","Fortbewegungsmittel"
"1419","taxi_word",1130,"Taxi",611,"correct","1","WPM","congruent","Fortbewegungsmittel"
"1419","hut_word",1220,"Kleid",737,"incorrect","0","WPM","incongruent","Kleidung"
"1419","hemd_word",1320,"Schal",602,"correct","1","WPM","incongruent","Kleidung"
"1419","sellerie_incorrect",1020,"Sellerie",1106,"correct","1","FPM","incongruent","Gemuese"
"1419","schraubenzieher_incorrect",1100,"Schraubenzieher",626,"correct","1","FPM","incongruent","Werkzeug"
"1419","zitrone_word",1510,"Banane",658,"correct","1","WPM","incongruent","Fruechte"
"1419","kiwi_word",1350,"Kirsche",590,"correct","1","WPM","incongruent","Fruechte"
"1419","kleid_word",1210,"Hut",592,"correct","1","WPM","incongruent","Kleidung"
"1419","handschuh_word",1180,"Handschuh",719,"incorrect","0","WPM","congruent","Kleidung"
"1419","kohlrabi_word",1190,"Kohlrabi",974,"correct","1","WPM","congruent","Gemuese"
"1419","gans_correct",1240,"Gans",658,"correct","1","FPM","congruent","Voegel"
"1419","bluse_incorrect",1530,"Bluse",603,"incorrect","0","FPM","incongruent","Kleidung"
"1419","sellerie_word",1200,"Sellerie",919,"incorrect","0","WPM","congruent","Gemuese"
"1419","maurerkelle_correct",990,"Maurerkelle",1170,"correct","1","FPM","congruent","Werkzeug"
"1419","radieschen_incorrect",1310,"Radieschen",1891,"correct","1","FPM","incongruent","Gemuese"
"1419","kokosnuss_incorrect",1280,"Kokosnuss",1586,"correct","1","FPM","incongruent","Fruechte"
"1419","avocado_correct",1400,"Avocado",1692,"incorrect","0","FPM","congruent","Gemuese"
"1419","wal_correct",1160,"Wal",765,"correct","1","FPM","congruent","Saeugetiere"
"1419","meissel_word",1220,"Meissel",957,"correct","1","WPM","congruent","Werkzeug"
"1419","weintraube_word",1210,"Weintraube",520,"correct","1","WPM","congruent","Fruechte"
"1419","hubschrauber_word",1250,"Kanu",580,"incorrect","0","WPM","incongruent","Fortbewegungsmittel"
"1419","moewe_incorrect",1200,"Moewe",931,"correct","1","FPM","incongruent","Voegel"
"1419","radieschen_word",1130,"Radieschen",1106,"correct","1","WPM","congruent","Gemuese"
"1419","bank_incorrect",1220,"Bank",685,"incorrect","0","FPM","incongruent","Moebel"
"1419","hobel_word",1170,"Hobel",493,"incorrect","0","WPM","congruent","Werkzeug"
"1419","traktor_incorrect",1130,"Traktor",839,"incorrect","0","FPM","incongruent","Fortbewegungsmittel"
"1419","sichel_incorrect",1280,"Sichel",886,"correct","1","FPM","incongruent","Werkzeug"
"1419","axt_word",860,"Harke",888,"correct","1","WPM","incongruent","Werkzeug"
"1419","kamel_incorrect",1290,"Kamel",1093,"correct","1","FPM","incongruent","Saeugetiere"
"1419","kuerbis_incorrect",1250,"Kuerbis",1107,"correct","1","FPM","incongruent","Gemuese"
"1419","zwiebel_correct",950,"Zwiebel",1411,"incorrect","0","FPM","congruent","Gemuese"
"1419","sofa_word",1140,"Tisch",710,"correct","1","WPM","incongruent","Moebel"
"1419","adler_word",890,"Pinguin",767,"correct","1","WPM","incongruent","Voegel"
"1419","bueffel_incorrect",1440,"Bueffel",578,"correct","1","FPM","incongruent","Saeugetiere"
"1419","schiff_incorrect",1030,"Schiff",779,"correct","1","FPM","incongruent","Fortbewegungsmittel"
"1419","axt_correct",940,"Axt",721,"incorrect","0","FPM","congruent","Werkzeug"
"1419","hocker_incorrect",1240,"Hocker",731,"correct","1","FPM","incongruent","Moebel"
"1419","mantel_incorrect",1020,"Mantel",556,"correct","1","FPM","incongruent","Kleidung"
"1419","regal_word",1190,"Regal",521,"incorrect","0","WPM","congruent","Moebel"
"1419","meise_incorrect",1300,"Meise",759,"incorrect","0","FPM","incongruent","Voegel"
"1419","kamel_word",1410,"Kamel",1005,"incorrect","0","WPM","congruent","Saeugetiere"
"1419","harke_correct",1410,"Harke",1015,"correct","1","FPM","congruent","Werkzeug"
"1419","spargel_word",1040,"Mais",831,"incorrect","0","WPM","incongruent","Gemuese"
"1419","pinguin_correct",920,"Pinguin",1644,"incorrect","0","FPM","congruent","Voegel"
"1419","schrank_word",940,"Schrank",1262,"incorrect","0","WPM","congruent","Moebel"
"1419","fledermaus_correct",1190,"Fledermaus",1952,"correct","1","FPM","congruent","Saeugetiere"
"1419","rollschuh_correct",1190,"Rollschuh",1245,"incorrect","0","FPM","congruent","Fortbewegungsmittel"
"1419","schaukelstuhl_correct",1130,"Schaukelstuhl",696,"correct","1","FPM","congruent","Moebel"
"1419","socke_correct",1240,"Socke",1240,"incorrect","0","FPM","congruent","Kleidung"
"1419","walze_incorrect",1360,"Walze",792,"incorrect","0","FPM","incongruent","Werkzeug"
"1419","reiher_correct",1050,"Reiher",2378,"incorrect","0","FPM","congruent","Voegel"
"1419","bohrmaschine_correct",1230,"Bohrmaschine",730,"correct","1","FPM","congruent","Werkzeug"
"1419","jeans_word",1300,"Socke",718,"incorrect","0","WPM","incongruent","Kleidung"
"1419","kommode_incorrect",1320,"Kommode",933,"correct","1","FPM","incongruent","Moebel"
"1419","kanu_word",1000,"Hubschrauber",790,"correct","1","WPM","incongruent","Fortbewegungsmittel"
"1419","feile_correct",1320,"Feile",1399,"incorrect","0","FPM","congruent","Werkzeug"
"1419","moehre_word",1120,"Paprika",568,"incorrect","0","WPM","incongruent","Gemuese"
"1419","zwiebel_word",1330,"Avocado",607,"correct","1","WPM","incongruent","Gemuese"
"1419","hose_word",1150,"Hose",526,"incorrect","0","WPM","congruent","Kleidung"
"1419","kanu_correct",940,"Kanu",757,"correct","1","FPM","congruent","Fortbewegungsmittel"
"1419","dattel_word",1240,"Dattel",1764,"correct","1","WPM","congruent","Fruechte"
"1419","tisch_correct",1010,"Tisch",1162,"correct","1","FPM","congruent","Moebel"
"1419","zug_correct",1240,"Zug",881,"correct","1","FPM","congruent","Fortbewegungsmittel"
"1419","ente_incorrect",1110,"Ente",924,"correct","1","FPM","incongruent","Voegel"
"1419","rollschuh_word",1190,"Fahrrad",642,"correct","1","WPM","incongruent","Fortbewegungsmittel"
"1419","schlitten_incorrect",1380,"Schlitten",570,"correct","1","FPM","incongruent","Fortbewegungsmittel"
"1419","kohlrabi_incorrect",980,"Kohlrabi",935,"correct","1","FPM","incongruent","Gemuese"
"1419","reiher_word",940,"Wellensittich",1340,"correct","1","WPM","incongruent","Voegel"
"1419","fuchs_correct",1390,"Fuchs",886,"incorrect","0","FPM","congruent","Saeugetiere"
"1419","kutsche_word",1120,"Kutsche",681,"correct","1","WPM","congruent","Fortbewegungsmittel"
